job_count,lat,lon
11,30.291116,-97.7467626
251,30.2903634,-97.7511643
60,30.2944867,-97.7433364
33,30.2937812,-97.7422919
103,30.2926025,-97.7420411
25,30.2920119,-97.7435228
179,30.2913232,-97.742068
4,30.2906787,-97.7415787
10,30.2903916,-97.7455077
13,30.2901373,-97.7471068
12,30.289715,-97.7455599
49,30.2886954,-97.745653
32,30.2887838,-97.7472245
45,30.2899691,-97.7417477
38,30.2899038,-97.7433151
13,30.288934,-97.7441727
111,30.2884258,-97.7418954
28,30.2880442,-97.7427345
25,30.2883059,-97.7434773
7,30.2882447,-97.7442476
10,30.2877472,-97.74863
28,30.2873907,-97.7500598
136,30.2862746,-97.7521646
8,30.2878535,-97.7523001
65,30.2846396,-97.7514187
5,30.2846081,-97.7487914
115,30.287691,-97.7462918
344,30.2867513,-97.7455807
8,30.2858718,-97.7472617
20,30.2847039,-97.74579
2,30.2851158,-97.7473355
129,30.2840581,-97.7474159
77,30.2834814,-97.7458635
75,30.2871402,-97.7421567
11,30.2872002,-97.7432078
50,30.2872752,-97.7442266
121,30.2859376,-97.7443614
61,30.2858571,-97.7433419
229,30.2857808,-97.7422871
74,30.2844445,-97.7424072
105,30.284533,-97.7434806
49,30.2846076,-97.7445002
40,30.2832539,-97.7446071
705,30.2830848,-97.7436051
69,30.2828736,-97.7425351
34,30.2768855,-97.7322014
105,30.2776046,-97.7338073
